ID	LogRelexpr18S28S_379	LogRelexpr18S28S_203	LogRelexpr18S28S_C2	LogRelexpr18S28S_C4	LogRelexpr18S28S_C5	LogRelexpr18S28S_C7	Sex	Population	premass	postmass	weightloss	time.sec	time.min	distance	averagevelocity	maxvelocity	power	Area	PC1_wing_size	PC2_wing_shape
FL35	-5.735719191	-5.533046093	-4.797300863	-4.461948949	-4.423890721	-4.766740327	F	east	0.4705	0.4625	-5.428472942	1798.008	29.9668	2145.67	1.244473332	1.290065017	1.99187e-4	844.261	0.5681167	-0.10688104
FL72	-6.214008744	-6.369840739	-4.725838335	-4.45900126	-4.45900126	-5.020991135	F	east	0.5397	0.5235	-4.987268923	1311.4716	21.85786	1573.2	1.260944162	1.307667328	3.17336e-4	837.034	-0.27168277	0.54911758
FL74	-4.85791212	-4.593920819	-2.652108408	-2.614835069	-2.897359019	-2.841117045	F	east	0.5219	0.5108	-5.085116938	1711.2714	28.52119	1350.33	0.877759836	0.971189119	1.14988e-4	912.528	0.01786371	-0.79304159
FL75	-6.139628719	-6.30501221	-4.835978452	-4.340078509	-4.439757335	-4.867258135	F	east	0.5636	0.5404	-4.967840371	1799.2716	29.98786	2154.41	1.249461166	1.327595676	2.34441e-4	1006.46	-1.89442929	-0.23101753
FL79	-4.397748943	-4.181319518	-3.013538366	-2.774676918	-3.176729679	-2.977623703	F	east	0.5811	0.5797	-5.357676261	305.68914	5.094819	319.01	1.098205178	1.169898989	0.001143563	999.799	-1.68540021	-0.23192753
FL05	-6.002422603	-6.184092593	-4.942582979	-4.788668325	-4.254581157	-4.713543842	M	east	0.4994	0.4932	-4.965361043	857.1906	14.28651	572.47	0.687124787	0.703891961	1.35827e-4	875.622	-0.44498163	-0.05507439
FL11	-5.574368472	-5.673675429	-5.380590355	-4.408680454	-4.284960591	-4.727556584	M	east	0.5857	0.5572	-5.059538175	1798.3254	29.97209	3268.76	1.865107975	1.902786	5.38916e-4	851.894	0.21772481	-0.45124826
FL17	-5.628549203	-5.858297821	-4.670523525	-4.39558167	-4.417743068	-4.631925578	M	east	0.5279	0.5262	-5.40566771	416.73042	6.945507	432.63	1.136415177	1.215226723	8.15342e-4	888.317	-0.45408852	0.186987
FL41	-6.170613231	-6.336171269	-1.866386011	-1.764884198	-2.231335005	-1.705032614	M	east	0.357	0.3539	-5.117602692	437.90382	7.298397	406.41	1.034319015	1.138799989	4.32296e-4	906.301	-0.86841023	-0.56598691
FL81	-2.375201315	-2.361145463	-1.863910385	-2.143275639	-2.284843933	-2.146308975	M	east	0.4526	0.4514	-5.309488218	380.9937	6.349895	244.72	0.755259697	0.906338615	3.37914e-4	767.761	1.39476008	-0.12393409
C135	-4.9980448	-4.661108179	-3.549622518	-3.491530955	-3.49355758	-3.808226581	F	west	0.3267	0.325	-5.485579477	487.75602	8.129267	520.03	1.179178814	1.232255846	4.63244e-4	716.216	1.75187121	1.6322725
C143	-5.912708123	-6.011595553	-3.129268379	-3.161963867	-2.919258931	-3.541278477	F	west	0.3574	0.3566	-5.184549481	159.6381	2.660635	122.36	0.807248225	0.848012712	7.27828e-4	747.212	0.06870946	2.03028155
C181	-6.096134568	-5.961230656	-3.533716765	-3.021525346	-2.72913851	-3.408580139	F	west	0.3582	0.3486	-4.785315002	549.69732	9.161622	585.58	1.062008179	1.0962344	3.57626e-4	599.114	2.29688519	3.58588961
C61	-6.466447355	-6.528078288	-4.015140373	-3.599654542	-3.003909645	-3.736649866	F	west	0.47456	0.47346	-5.877842353	764.1168	12.73528	830.3	1.105762313	1.145484572	3.78806e-4	927.698	-0.7799175	-0.95799301
C118	-5.391739046	-5.681676093	-3.306776456	-3.051349462	-2.737227453	-3.67610215	M	west	0.66	0.6546	-4.953410656	482.58144	8.043024	485.07	1.114406049	1.258825888	8.42291e-4	916.617	-0.64995679	-0.15382888
C56	-5.674712139	-5.678425865	-1.938361607	-1.634777133	-1.544554489	-2.043918586	M	west	0.496	0.4946	-5.598157122	539.33268	8.988878	554.99	1.040452414	1.062053009	4.96377e-4	804.901	1.2589724	-0.37231036
C63	-4.775827559	-4.821149983	-3.699524256	-3.497544754	-3.943897919	-3.739939639	M	west	0.5144	0.4908	-3.966539438	252.40368	4.206728	218.5	1.074288637	1.255506212	0.001122072	940.117	-1.20318507	-0.15917319
C67	-6.036459685	-6.372880893	-3.815332331	-3.114932284	-2.880665912	-3.550872317	M	west	0.4583	0.4555	-5.218629271	502.689	8.37815	463.22	0.719367172	0.925274991	2.34455e-4	834.207	-1.28062631	0.7789239
C68	-3.455760623	-3.47633674	-2.73438656	-2.872338162	-3.01147753	-2.933878952	M	west	0.5756	0.5598	-4.617915609	631.7202	10.52867	655.5	1.106769213	1.202548688	5.42741e-4	823.029	0.74186309	-0.45423456
FL28	NA	NA	NA	NA	NA	NA	F	east	0.4132	0.4097	-5.564760723	1006.6368	16.77728	1284.78	1.387554791	1.464586958	3.91799e-4	889.227	-1.41120623	1.034957
FL30	NA	NA	NA	NA	NA	NA	F	east	0.6074	0.5946	-4.956517341	819.4368	13.65728	1158.05	1.520939678	1.558196103	8.39273e-4	882.994	-0.28113571	0.15848811
FL48	NA	NA	NA	NA	NA	NA	F	east	0.4145	0.4068	-4.864580422	614.727	10.24545	563.73	0.987523413	1.052818789	3.22674e-4	891.255	-1.58772709	-0.77556638
FL56	NA	NA	NA	NA	NA	NA	F	east	0.5157	0.5106	-5.383160369	1036.644296	17.27740493	1232.34	1.284118909	1.368447903	4.06099e-4	903.853	-0.17369716	-0.59618638
FL58	NA	NA	NA	NA	NA	NA	F	east	0.451	0.4487	-4.693726949	143.10456	2.385076	113.62	0.936441339	0.936441339	0.001374782	859.762	-0.89527776	0.38844667
FL60	NA	NA	NA	NA	NA	NA	F	east	0.484	0.4814	-5.221143284	510.69228	8.511538	432.63	0.871637774	0.910646309	3.58087e-4	885.062	-0.33608487	0.03372995
FL73	NA	NA	NA	NA	NA	NA	F	east	0.4194	0.417	-5.554736421	652.9326	10.88221	860.89	1.356625592	1.401093171	5.87703e-4	864.789	0.17963877	-0.40185451
FL77	NA	NA	NA	NA	NA	NA	F	east	0.6615	0.6395	-4.975665709	1796.787	29.94645	2080.12	1.177082388	1.243587294	2.46563e-4	833.138	0.12974688	0.21327364
FL09	NA	NA	NA	NA	NA	NA	M	east	0.5442	0.5351	-5.522799515	1801.2054	30.02009	3032.78	1.788136858	1.851309988	4.74945e-4	828.884	0.67651065	-0.45694247
FL18	NA	NA	NA	NA	NA	NA	M	east	0.5451	0.5428	-5.596816936	642.1344	10.70224	908.96	1.535164138	1.6155282	9.96078e-4	900.584	-0.16907394	-0.46301647
FL29	NA	NA	NA	NA	NA	NA	M	east	0.5997	0.5906	-5.086273761	844.5222	14.07537	1109.98	1.358356451	1.415673624	6.45178e-4	908.073	0.57618328	-0.91649192
FL32	NA	NA	NA	NA	NA	NA	M	east	0.5692	0.5619	-4.66925318	389.36952	6.489492	340.86	0.968979341	1.074620483	6.77479e-4	969.093	-0.37022843	-1.35702685
FL37	NA	NA	NA	NA	NA	NA	M	east	0.5408	0.5382	-5.483186664	701.589	11.69315	790.97	1.191082387	1.316676607	5.44145e-4	825.684	-0.31144612	0.78033502
FL38	NA	NA	NA	NA	NA	NA	M	east	0.5148	0.5065	-5.375579886	1779.4818	29.65803	1970.87	1.23071402	1.429623645	2.15561e-4	867.141	-0.64034595	0.02477006
FL40	NA	NA	NA	NA	NA	NA	M	east	0.611	0.6087	-5.415474168	591.91128	9.865188	598.69	1.084969331	1.126765723	6.05273e-4	924.919	-2.56903196	1.26106816
FL45	NA	NA	NA	NA	NA	NA	M	east	0.3317	0.3281	-4.774375016	286.76634	4.779439	214.13	0.738766939	0.768943941	3.12222e-4	825.063	-0.71483441	0.51070362
FL55	NA	NA	NA	NA	NA	NA	M	east	0.5733	0.5562	-4.989548689	1796.5032	29.94172	1669.34	1.064869937	1.19829867	1.75536e-4	865.031	-0.89406953	0.47391324
C137	NA	NA	NA	NA	NA	NA	F	west	0.4187	0.407	-4.506794026	486.45408	8.107568	375.82	0.768775969	0.78738444	2.47242e-4	788.11	0.88156625	0.82816466
C140	NA	NA	NA	NA	NA	NA	F	west	0.4777	0.469	-4.73438594	362.77368	6.046228	471.96	1.3858279	1.456938434	0.00124144	805.638	0.6447561	0.40730138
C150	NA	NA	NA	NA	NA	NA	F	west	0.4571	0.454	-5.608512231	821.1066	13.68511	1258.56	1.524655453	1.553046672	6.42643e-4	749.253	0.90387107	0.91300093
C156	NA	NA	NA	NA	NA	NA	F	west	0.4858	0.4807	-5.142426275	521.17356	8.686226	707.94	1.44519873	1.539020019	9.63201e-4	823.864	0.58103314	-0.10014715
C160	NA	NA	NA	NA	NA	NA	F	west	0.5572	0.5564	-5.550304807	282.64746	4.710791	284.05	1.082982388	1.147173104	0.001154396	924.271	-0.71336158	-0.20194012
C163	NA	NA	NA	NA	NA	NA	F	west	0.4707	0.4633	-5.028928292	738.4938	12.30823	790.97	1.193973129	1.291912841	4.47172e-4	769.188	0.50047192	0.70739058
C170	NA	NA	NA	NA	NA	NA	F	west	0.5483	0.5398	-5.229576451	1059.8364	17.66394	1442.1	1.489680049	1.595012877	5.65132e-4	940.028	-0.91109512	0.01028178
C178	NA	NA	NA	NA	NA	NA	F	west	0.3912	0.3903	-5.478630617	289.45422	4.824237	270.94	0.79256676	0.93603751	4.23507e-4	784.848	1.63394947	-1.20109592
C183	NA	NA	NA	NA	NA	NA	F	west	0.4776	0.4752	-5.30166288	319.39554	5.323259	480.7	1.583050338	1.711773825	0.001864262	829.056	1.1691269	-0.62121933
C73	NA	NA	NA	NA	NA	NA	F	west	0.4023	0.3915	-4.482118945	426.38334	7.106389	327.75	0.816738726	0.88784719	3.06244e-4	740.633	1.97442997	0.11829955
C80	NA	NA	NA	NA	NA	NA	F	west	0.4702	0.4679	-5.511749711	555.2325	9.253875	747.27	1.402543813	1.466004603	8.2886e-4	922.023	-1.46051593	0.20291598
C101	NA	NA	NA	NA	NA	NA	M	west	0.4757	0.3741	-3.536677716	284.5638	4.74273	349.6	1.187905569	1.331336741	9.2756e-4	785.482	0.66658227	0.34681186
C109	NA	NA	NA	NA	NA	NA	M	west	0.4831	0.4821	-5.47299035	288.0054	4.80009	297.16	1.068705042	1.17157696	9.55921e-4	820.747	0.69949732	-0.06559635
C112	NA	NA	NA	NA	NA	NA	M	west	0.4875	0.471	-5.280329989	1799.568	29.9928	3146.4	1.795950443	1.86160961	4.22096e-4	817.127	0.64450411	0.75066396
C113	NA	NA	NA	NA	NA	NA	M	west	0.4601	0.4548	-5.183377296	535.14582	8.919097	808.45	1.508303481	1.593826905	9.66709e-4	747.37	0.19209575	-0.7211039
C133	NA	NA	NA	NA	NA	NA	M	west	0.5477	0.5458	-5.612147838	537.66822	8.961137	777.86	1.458364624	1.507414537	0.001079497	771.188	0.85964393	0.39720657
C57	NA	NA	NA	NA	NA	NA	M	west	0.4587	0.4521	-4.352416418	222.07056	3.701176	148.58	0.667094707	0.669066673	4.5299e-4	825.656	-0.77810565	0.97680102
C59	NA	NA	NA	NA	NA	NA	M	west	0.358	0.3558	-5.110972113	406.96566	6.782761	284.05	0.758022957	0.862391084	2.51179e-4	838.407	-0.63475914	0.63456201
C66	NA	NA	NA	NA	NA	NA	M	west	0.552	0.5487	-5.538608004	662.862	11.0477	1140.57	1.712389907	1.738291173	0.001213632	861.824	1.05833583	-0.98188044
C71	NA	NA	NA	NA	NA	NA	M	west	0.4725	0.4636	-5.185246024	1097.9148	18.29858	1363.44	1.320014346	1.402383977	3.67877e-4	795.474	1.54786157	-1.02801348
